epochs,seed,set_size_range,labels_number,id,train_accuracy,max_set_new_size_test,test_batch_size,new_sets_number_test,log_interval,train_set_size,lr,lr_decay_epoch,max_set_new_size_train,momentum,train_loss,random_sample,no_cuda,batch_size,result_file,new_sets_number_train,data_set,test_accuracy,time,test_set_size
100,1005,"[10, 100]",4,42,0.611079,100,1000,1,10,60,0.1,20,10,0.5,-0.60896313211820241,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.71889000000000003,951.7020211219788,1000
100,1005,"[10, 100]",4,43,0.780906,10,1000,10,10,60,0.1,20,100,0.5,-0.77232829569760009,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.70993000000000006,474.3403081893921,1000
100,1005,"[10, 100]",4,44,0.780906,100,1000,1,10,60,0.1,20,100,0.5,-0.77232829569760009,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.76048000000000004,342.11140513420105,1000
100,1005,"[100, 1000]",4,45,0.957572,100,1000,10,10,60,0.1,20,100,0.5,-0.95547843315088699,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.96781000000000028,1794.9118659496307,1000
100,1005,"[100, 1000]",4,46,0.957572,1000,1000,1,10,60,0.1,20,100,0.5,-0.95547843315088699,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.96601999999999999,1707.3769838809967,1000
100,1005,"[100, 1000]",4,47,0.949932,100,1000,10,10,60,0.1,20,1000,0.5,-0.94296661670935344,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.93284,1351.1344501972198,1000
100,1005,"[100, 1000]",4,48,0.949932,1000,1000,1,10,60,0.1,20,1000,0.5,-0.94296661670935344,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.93540999999999985,1260.9141600131989,1000
100,1006,"[10, 100]",4,49,0.627011,10,1000,10,10,60,0.1,20,10,0.5,-0.62471646715858287,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.72704999999999997,1097.2511489391327,1000
100,1006,"[10, 100]",4,50,0.627011,100,1000,1,10,60,0.1,20,10,0.5,-0.62471646715858287,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.73594000000000004,949.7942068576813,1000
100,1006,"[10, 100]",4,51,0.856749,10,1000,10,10,60,0.1,20,100,0.5,-0.8450381727541908,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.75791000000000008,504.16994404792786,1000
100,1006,"[10, 100]",4,52,0.856749,100,1000,1,10,60,0.1,20,100,0.5,-0.8450381727541908,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.80545999999999984,377.85471200942993,1000
100,1006,"[100, 1000]",4,53,0.956915,100,1000,10,10,60,0.1,20,100,0.5,-0.95475364772431282,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.96904999999999997,1789.3420159816742,1000
100,1006,"[100, 1000]",4,54,0.956915,1000,1000,1,10,60,0.1,20,100,0.5,-0.95475364772431282,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.96748000000000012,1676.3596079349518,1000
100,1006,"[100, 1000]",4,55,0.948479,100,1000,10,10,60,0.1,20,1000,0.5,-0.94118816115088388,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.92888000000000004,1342.5773248672485,1000
100,1006,"[100, 1000]",4,56,0.948479,1000,1000,1,10,60,0.1,20,1000,0.5,-0.94118816115088388,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.92981000000000003,1253.2685811519623,1000
100,1007,"[10, 100]",4,57,0.586764,10,1000,10,10,60,0.1,20,10,0.5,-0.58509055353675676,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.66034999999999999,1133.3652279376984,1000
100,1007,"[10, 100]",4,58,0.586764,100,1000,1,10,60,0.1,20,10,0.5,-0.58509055353675676,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.66866999999999999,991.9536180496216,1000
100,1007,"[10, 100]",4,59,0.785927,10,1000,10,10,60,0.1,20,100,0.5,-0.77446727161690332,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.71965999999999997,509.03178095817566,1000
100,1007,"[10, 100]",4,60,0.785927,100,1000,1,10,60,0.1,20,100,0.5,-0.77446727161690332,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.76737999999999995,360.5673670768738,1000
100,1007,"[100, 1000]",4,61,0.957502,100,1000,10,10,60,0.1,20,100,0.5,-0.95552266860069268,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.96989999999999998,1775.6913290023804,1000
100,1007,"[100, 1000]",4,62,0.957502,1000,1000,1,10,60,0.1,20,100,0.5,-0.95552266860069268,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.96779999999999988,1667.3699700832367,1000
100,1007,"[100, 1000]",4,63,0.932736,100,1000,10,10,60,0.1,20,1000,0.5,-0.92315411739430187,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.85387999999999997,1371.756886959076,1000
100,1007,"[100, 1000]",4,64,0.932736,1000,1000,1,10,60,0.1,20,1000,0.5,-0.92315411739430187,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.85530000000000006,1265.6050560474396,1000
100,1008,"[10, 100]",4,65,0.571145,10,1000,10,10,60,0.1,20,10,0.5,-0.56943791153945611,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.64156999999999997,1143.9475240707397,1000
100,1008,"[10, 100]",4,66,0.571145,100,1000,1,10,60,0.1,20,10,0.5,-0.56943791153945611,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.65068999999999999,967.5678000450134,1000
100,1008,"[10, 100]",4,67,0.847217,10,1000,10,10,60,0.1,20,100,0.5,-0.83325629724284345,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.77206999999999992,481.0714750289917,1000
100,1008,"[10, 100]",4,68,0.847217,100,1000,1,10,60,0.1,20,100,0.5,-0.83325629724284345,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.82828000000000002,348.09275794029236,1000
100,1008,"[100, 1000]",4,69,0.876504,100,1000,10,10,60,0.1,20,100,0.5,-0.87475347089686084,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.88688999999999996,1814.728362083435,1000
100,1008,"[100, 1000]",4,70,0.876504,1000,1000,1,10,60,0.1,20,100,0.5,-0.87475347089686084,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.88490999999999997,1702.773391008377,1000
100,1008,"[100, 1000]",4,71,0.865311,100,1000,10,10,60,0.1,20,1000,0.5,-0.85969869282286049,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.83979000000000004,1367.3443310260773,1000
100,1008,"[100, 1000]",4,72,0.865311,1000,1000,1,10,60,0.1,20,1000,0.5,-0.85969869282286049,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.84040000000000004,1267.5037438869476,1000
100,1009,"[10, 100]",4,73,0.657742,10,1000,10,10,60,0.1,20,10,0.5,-0.65516831736515813,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.7819100000000001,1121.8541719913483,1000
100,1009,"[10, 100]",4,74,0.657742,100,1000,1,10,60,0.1,20,10,0.5,-0.65516831736515813,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.79283000000000015,956.4411180019379,1000
100,1009,"[10, 100]",4,75,0.86625,10,1000,10,10,60,0.1,20,100,0.5,-0.8554577108662007,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.79252999999999996,526.8520140647888,1000
100,1009,"[10, 100]",4,76,0.86625,100,1000,1,10,60,0.1,20,100,0.5,-0.8554577108662007,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.85155000000000014,368.79508781433105,1000
100,1009,"[100, 1000]",4,77,0.958955,100,1000,10,10,60,0.1,20,100,0.5,-0.95696883866302795,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.97170000000000001,1806.664517879486,1000
100,1009,"[100, 1000]",4,78,0.958955,1000,1000,1,10,60,0.1,20,100,0.5,-0.95696883866302795,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.97037999999999991,1689.3869080543518,1000
100,1009,"[100, 1000]",4,79,0.949842,100,1000,10,10,60,0.1,20,1000,0.5,-0.94320451349525136,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.93369999999999997,1355.5584650039673,1000
100,1009,"[100, 1000]",4,80,0.949842,1000,1000,1,10,60,0.1,20,1000,0.5,-0.94320451349525136,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.93735000000000002,1274.458153963089,1000
