batch_size,data_set,epochs,id,labels_number,log_interval,lr,lr_decay_epoch,max_set_new_size_test,max_set_new_size_train,momentum,new_sets_number_test,new_sets_number_train,no_cuda,random_sample,result_file,results_averaging_window,seed,set_size_range_test,set_size_range_train,test_accuracy,test_batch_size,test_set_size,time,train_accuracy,train_loss,train_set_size
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,500,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,108,"[1000, 1000]","[1000, 1000]",0.93491,1000,1000,72996.4328110218,0.95074713,-0.943550752532684,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,500,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,106,"[1000, 1000]","[1000, 1000]",0.93184,1000,1000,73000.586471796,0.9490163,-0.940195090487852,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,500,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,105,"[1000, 1000]","[1000, 1000]",0.81003,1000,1000,73950.126967907,0.85130656,-0.843940715820102,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,500,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,107,"[1000, 1000]","[1000, 1000]",0.92907,1000,1000,73973.5133359432,0.95315754,-0.945903855006574,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,1000,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,105,"[1000, 1000]","[1000, 1000]",0.73783,1000,1000,78071.6797440052,0.76097167,-0.756371904278206,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,1000,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,109,"[1000, 1000]","[1000, 1000]",0.93802,1000,1000,79167.6749489307,0.95577717,-0.949089961183273,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,1000,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,107,"[1000, 1000]","[1000, 1000]",0.8923,1000,1000,79173.7976019383,0.95054895,-0.943643244949438,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,1000,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,108,"[1000, 1000]","[1000, 1000]",0.92932,1000,1000,79161.4885909557,0.95576066,-0.949412868790707,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,1000,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,106,"[1000, 1000]","[1000, 1000]",0.94814,1000,1000,79243.2723407745,0.9576465,-0.951139838311632,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,10,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,101,"[100, 100]","[100, 100]",0.66356,1000,1000,3830.81671595573,0.5699997,-0.562576532086073,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,10,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,100,"[100, 100]","[100, 100]",0.65939,1000,1000,3844.69281792641,0.5705812,-0.563012275933209,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,50,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,100,"[100, 100]","[100, 100]",0.82267,1000,1000,5248.37619400024,0.81565535,-0.807607115224256,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,50,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,101,"[100, 100]","[100, 100]",0.9014,1000,1000,5287.45995116234,0.8865477,-0.875899987958245,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,100,"[100, 100]","[100, 100]",0.8353,1000,1000,7053.58774995804,0.84744215,-0.840637044936924,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,101,"[100, 100]","[100, 100]",0.81729,1000,1000,7058.40424203873,0.844102,-0.83691473380994,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,10,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,102,"[100, 100]","[100, 100]",0.72896,1000,1000,3770.4637169838,0.6014411,-0.592904271362192,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,50,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,102,"[100, 100]","[100, 100]",0.89489,1000,1000,5030.22582197189,0.8871342,-0.877475646491778,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,101,"[1000, 1000]","[1000, 1000]",0.85663,1000,1000,9052.58075094223,0.8443801,-0.837620659904965,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,100,"[1000, 1000]","[1000, 1000]",0.85275,1000,1000,9066.75637698173,0.8434151,-0.836459325380245,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,102,"[100, 100]","[100, 100]",0.83621,1000,1000,5576.22391319275,0.849648,-0.842913469217591,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,102,"[1000, 1000]","[1000, 1000]",0.85763,1000,1000,6752.69014000893,0.8470526,-0.84020761301962,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,500,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,100,"[1000, 1000]","[1000, 1000]",0.83565,1000,1000,18949.4852459431,0.8666832,-0.861370029035261,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,500,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,101,"[1000, 1000]","[1000, 1000]",0.94317,1000,1000,19062.0969171524,0.9500834,-0.943140396172717,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,500,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,102,"[1000, 1000]","[1000, 1000]",0.86281,1000,1000,14845.2495858669,0.8698837,-0.86398613548885,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,1000,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,100,"[1000, 1000]","[1000, 1000]",0.85766,1000,1000,27502.0204188824,0.8757547,-0.870331894341162,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,1000,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,101,"[1000, 1000]","[1000, 1000]",0.92258,1000,1000,27517.4217290878,0.9506179,-0.943325806522773,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,1000,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,102,"[1000, 1000]","[1000, 1000]",0.95088,1000,1000,23272.1292178631,0.96023786,-0.953816139142392,60
